"Month","Year","Area","Value","Date"
1,2025,"Armagh",102,2025-01-01
1,2025,"Ballymena",125,2025-01-01
1,2025,"Coleraine",249,2025-01-01
1,2025,"Dungannon",105,2025-01-01
1,2025,"Enniskillen",335,2025-01-01
1,2025,"L'derry/Strabane",93,2025-01-01
1,2025,"Mallusk",58,2025-01-01
1,2025,"Newry",275,2025-01-01
1,2025,"Nt'Ards",333,2025-01-01
1,2025,"Omagh",184,2025-01-01
2,2025,"Armagh",95,2025-02-01
2,2025,"Ballymena",39,2025-02-01
2,2025,"Coleraine",148,2025-02-01
2,2025,"Dungannon",154,2025-02-01
2,2025,"Enniskillen",177,2025-02-01
2,2025,"L'derry/Strabane",23,2025-02-01
2,2025,"Mallusk",16,2025-02-01
2,2025,"Newry",326,2025-02-01
2,2025,"Nt'Ards",331,2025-02-01
2,2025,"Omagh",154,2025-02-01
3,2025,"Armagh",140,2025-03-01
3,2025,"Ballymena",43,2025-03-01
3,2025,"Coleraine",170,2025-03-01
3,2025,"Dungannon",197,2025-03-01
3,2025,"Enniskillen",281,2025-03-01
3,2025,"L'derry/Strabane",46,2025-03-01
3,2025,"Mallusk",20,2025-03-01
3,2025,"Newry",258,2025-03-01
3,2025,"Nt'Ards",212,2025-03-01
3,2025,"Omagh",182,2025-03-01
4,2025,"Armagh",164,2025-04-01
4,2025,"Ballymena",127,2025-04-01
4,2025,"Coleraine",178,2025-04-01
4,2025,"Dungannon",160,2025-04-01
4,2025,"Enniskillen",103,2025-04-01
4,2025,"L'derry/Strabane",53,2025-04-01
4,2025,"Mallusk",130,2025-04-01
4,2025,"Newry",292,2025-04-01
4,2025,"Nt'Ards",188,2025-04-01
4,2025,"Omagh",183,2025-04-01
5,2025,"Armagh",150,2025-05-01
5,2025,"Ballymena",56,2025-05-01
5,2025,"Coleraine",206,2025-05-01
5,2025,"Dungannon",122,2025-05-01
5,2025,"Enniskillen",200,2025-05-01
5,2025,"L'derry/Strabane",24,2025-05-01
5,2025,"Mallusk",38,2025-05-01
5,2025,"Newry",278,2025-05-01
5,2025,"Nt'Ards",300,2025-05-01
5,2025,"Omagh",161,2025-05-01
1,2024,"Armagh",142,2024-01-01
1,2024,"Ballymena",62,2024-01-01
1,2024,"Coleraine",202,2024-01-01
1,2024,"Dungannon",285,2024-01-01
1,2024,"Enniskillen",242,2024-01-01
1,2024,"L'derry/Strabane",55,2024-01-01
1,2024,"Mallusk",15,2024-01-01
1,2024,"Newry",226,2024-01-01
1,2024,"Nt'Ards",162,2024-01-01
1,2024,"Omagh",201,2024-01-01
2,2024,"Armagh",76,2024-02-01
2,2024,"Ballymena",59,2024-02-01
2,2024,"Coleraine",162,2024-02-01
2,2024,"Dungannon",211,2024-02-01
2,2024,"Enniskillen",231,2024-02-01
2,2024,"L'derry/Strabane",107,2024-02-01
2,2024,"Mallusk",34,2024-02-01
2,2024,"Newry",192,2024-02-01
2,2024,"Nt'Ards",198,2024-02-01
2,2024,"Omagh",280,2024-02-01
3,2024,"Armagh",322,2024-03-01
3,2024,"Ballymena",76,2024-03-01
3,2024,"Coleraine",164,2024-03-01
3,2024,"Dungannon",151,2024-03-01
3,2024,"Enniskillen",197,2024-03-01
3,2024,"L'derry/Strabane",76,2024-03-01
3,2024,"Mallusk",33,2024-03-01
3,2024,"Newry",378,2024-03-01
3,2024,"Nt'Ards",200,2024-03-01
3,2024,"Omagh",169,2024-03-01
4,2024,"Armagh",111,2024-04-01
4,2024,"Ballymena",60,2024-04-01
4,2024,"Coleraine",178,2024-04-01
4,2024,"Dungannon",178,2024-04-01
4,2024,"Enniskillen",229,2024-04-01
4,2024,"L'derry/Strabane",91,2024-04-01
4,2024,"Mallusk",34,2024-04-01
4,2024,"Newry",193,2024-04-01
4,2024,"Nt'Ards",245,2024-04-01
4,2024,"Omagh",215,2024-04-01
5,2024,"Armagh",187,2024-05-01
5,2024,"Ballymena",92,2024-05-01
5,2024,"Coleraine",93,2024-05-01
5,2024,"Dungannon",172,2024-05-01
5,2024,"Enniskillen",174,2024-05-01
5,2024,"L'derry/Strabane",93,2024-05-01
5,2024,"Mallusk",10,2024-05-01
5,2024,"Newry",344,2024-05-01
5,2024,"Nt'Ards",162,2024-05-01
5,2024,"Omagh",185,2024-05-01
6,2024,"Armagh",114,2024-06-01
6,2024,"Ballymena",79,2024-06-01
6,2024,"Coleraine",106,2024-06-01
6,2024,"Dungannon",75,2024-06-01
6,2024,"Enniskillen",202,2024-06-01
6,2024,"L'derry/Strabane",28,2024-06-01
6,2024,"Mallusk",21,2024-06-01
6,2024,"Newry",323,2024-06-01
6,2024,"Nt'Ards",165,2024-06-01
6,2024,"Omagh",218,2024-06-01
7,2024,"Armagh",96,2024-07-01
7,2024,"Ballymena",54,2024-07-01
7,2024,"Coleraine",225,2024-07-01
7,2024,"Dungannon",93,2024-07-01
7,2024,"Enniskillen",359,2024-07-01
7,2024,"L'derry/Strabane",41,2024-07-01
7,2024,"Mallusk",61,2024-07-01
7,2024,"Newry",189,2024-07-01
7,2024,"Nt'Ards",324,2024-07-01
7,2024,"Omagh",85,2024-07-01
8,2024,"Armagh",173,2024-08-01
8,2024,"Ballymena",107,2024-08-01
8,2024,"Coleraine",215,2024-08-01
8,2024,"Dungannon",242,2024-08-01
8,2024,"Enniskillen",360,2024-08-01
8,2024,"L'derry/Strabane",41,2024-08-01
8,2024,"Mallusk",30,2024-08-01
8,2024,"Newry",322,2024-08-01
8,2024,"Nt'Ards",394,2024-08-01
8,2024,"Omagh",405,2024-08-01
9,2024,"Armagh",124,2024-09-01
9,2024,"Ballymena",96,2024-09-01
9,2024,"Coleraine",278,2024-09-01
9,2024,"Dungannon",128,2024-09-01
9,2024,"Enniskillen",239,2024-09-01
9,2024,"L'derry/Strabane",88,2024-09-01
9,2024,"Mallusk",45,2024-09-01
9,2024,"Newry",236,2024-09-01
9,2024,"Nt'Ards",250,2024-09-01
9,2024,"Omagh",163,2024-09-01
10,2024,"Armagh",108,2024-10-01
10,2024,"Ballymena",57,2024-10-01
10,2024,"Coleraine",184,2024-10-01
10,2024,"Dungannon",121,2024-10-01
10,2024,"Enniskillen",413,2024-10-01
10,2024,"L'derry/Strabane",65,2024-10-01
10,2024,"Mallusk",59,2024-10-01
10,2024,"Newry",280,2024-10-01
10,2024,"Nt'Ards",223,2024-10-01
10,2024,"Omagh",236,2024-10-01
11,2024,"Armagh",181,2024-11-01
11,2024,"Ballymena",105,2024-11-01
11,2024,"Coleraine",285,2024-11-01
11,2024,"Dungannon",237,2024-11-01
11,2024,"Enniskillen",436,2024-11-01
11,2024,"L'derry/Strabane",100,2024-11-01
11,2024,"Mallusk",66,2024-11-01
11,2024,"Newry",442,2024-11-01
11,2024,"Nt'Ards",211,2024-11-01
11,2024,"Omagh",293,2024-11-01
12,2024,"Armagh",88,2024-12-01
