"Year","Month","Date","Area","Value"
2025,8,2025-08-31,"Armagh",20
2025,8,2025-08-31,"Ballymena",10
2025,8,2025-08-31,"Coleraine",14
2025,8,2025-08-31,"Dungannon",26
2025,8,2025-08-31,"Enniskillen",17
2025,8,2025-08-31,"L'derry/Strabane",11
2025,8,2025-08-31,"Mallusk",9
2025,8,2025-08-31,"Newry",31
2025,8,2025-08-31,"Nt'Ards",22
2025,8,2025-08-31,"Omagh",16
2025,8,2025-08-31,"Total",176
2025,7,2025-07-31,"Armagh",13
2025,7,2025-07-31,"Ballymena",4
2025,7,2025-07-31,"Coleraine",12
2025,7,2025-07-31,"Dungannon",23
2025,7,2025-07-31,"Enniskillen",26
2025,7,2025-07-31,"L'derry/Strabane",5
2025,7,2025-07-31,"Mallusk",3
2025,7,2025-07-31,"Newry",21
2025,7,2025-07-31,"Nt'Ards",22
2025,7,2025-07-31,"Omagh",13
2025,7,2025-07-31,"Total",142
2025,6,2025-06-30,"Armagh",13
2025,6,2025-06-30,"Ballymena",10
2025,6,2025-06-30,"Coleraine",14
2025,6,2025-06-30,"Dungannon",22
2025,6,2025-06-30,"Enniskillen",13
2025,6,2025-06-30,"L'derry/Strabane",11
2025,6,2025-06-30,"Mallusk",10
2025,6,2025-06-30,"Newry",28
2025,6,2025-06-30,"Nt'Ards",18
2025,6,2025-06-30,"Omagh",21
2025,6,2025-06-30,"Total",160
2025,5,2025-05-31,"Armagh",19
2025,5,2025-05-31,"Ballymena",17
2025,5,2025-05-31,"Coleraine",27
2025,5,2025-05-31,"Dungannon",25
2025,5,2025-05-31,"Enniskillen",26
2025,5,2025-05-31,"L'derry/Strabane",8
2025,5,2025-05-31,"Mallusk",8
2025,5,2025-05-31,"Newry",30
2025,5,2025-05-31,"Nt'Ards",27
2025,5,2025-05-31,"Omagh",23
2025,5,2025-05-31,"Total",210
2025,4,2025-04-30,"Armagh",17
2025,4,2025-04-30,"Ballymena",15
2025,4,2025-04-30,"Coleraine",26
2025,4,2025-04-30,"Dungannon",20
2025,4,2025-04-30,"Enniskillen",18
2025,4,2025-04-30,"L'derry/Strabane",12
2025,4,2025-04-30,"Mallusk",9
2025,4,2025-04-30,"Newry",31
2025,4,2025-04-30,"Nt'Ards",20
2025,4,2025-04-30,"Omagh",23
2025,4,2025-04-30,"Total",191
2025,3,2025-03-31,"Armagh",19
2025,3,2025-03-31,"Ballymena",10
2025,3,2025-03-31,"Coleraine",28
2025,3,2025-03-31,"Dungannon",17
2025,3,2025-03-31,"Enniskillen",21
2025,3,2025-03-31,"L'derry/Strabane",8
2025,3,2025-03-31,"Mallusk",4
2025,3,2025-03-31,"Newry",31
2025,3,2025-03-31,"Nt'Ards",26
2025,3,2025-03-31,"Omagh",16
2025,3,2025-03-31,"Total",180
2025,2,2025-02-28,"Armagh",19
2025,2,2025-02-28,"Ballymena",10
