"Year","Month","Armagh","Ballymena","Coleraine","Dungannon","Enniskillen","L'derry/Strabane","Mallusk","Newry","Nt'Ards","Omagh","Total","Date"
2025,8,20,10,14,26,17,11,9,31,22,16,176,2025-08-31
2025,7,13,4,12,23,26,5,3,21,22,13,142,2025-07-31
2025,6,13,10,14,22,13,11,10,28,18,21,160,2025-06-30
2025,5,19,17,27,25,26,8,8,30,27,23,210,2025-05-31
2025,4,17,15,26,20,18,12,9,31,20,23,191,2025-04-30
2025,3,19,10,28,17,21,8,4,31,26,16,180,2025-03-31
2025,2,19,10,24,17,24,3,4,31,26,9,167,2025-02-28
2025,1,22,14,30,24,29,7,11,33,25,18,213,2025-01-31
2024,12,17,11,24,22,39,17,6,23,21,17,197,2024-12-31
2024,11,27,19,38,27,47,16,8,35,32,28,277,2024-11-30
2024,10,22,14,29,21,35,9,9,38,21,37,235,2024-10-31
2024,9,12,9,37,15,22,9,5,32,24,14,179,2024-09-30
2024,8,19,15,27,18,32,3,3,27,18,25,187,2024-08-31
2024,7,10,12,16,13,28,0,5,28,13,8,133,2024-07-31
2024,6,11,8,20,15,14,2,2,25,14,17,128,2024-06-30
2024,5,19,11,23,26,30,12,3,28,19,22,193,2024-05-31
2024,4,19,8,16,27,24,10,7,25,22,29,187,2024-04-30
2024,3,20,14,28,23,23,18,8,30,27,26,217,2024-03-31
2024,2,10,10,37,28,24,16,7,25,19,27,203,2024-02-29
2024,1,11,8,24,25,27,10,9,34,11,19,178,2024-01-31
2023,12,23,13,21,24,29,11,8,20,13,19,181,2023-12-31
2023,11,19,17,23,40,30,12,8,30,22,24,225,2023-11-30
2023,10,25,12,25,26,22,9,8,42,19,19,207,2023-10-31
2023,9,15,7,18,26,30,7,5,34,22,16,180,2023-09-30
2023,8,20,6,23,16,26,4,2,34,17,13,161,2023-08-31
2023,7,23,14,18,24,25,8,7,22,14,18,173,2023-07-31
2023,6,9,5,15,9,13,3,5,26,17,10,112,2023-06-30
2023,5,16,16,17,17,35,4,11,22,22,26,186,2023-05-31
2023,4,15,6,17,24,31,17,7,19,17,12,165,2023-04-30
2023,3,18,20,16,30,27,11,15,28,24,28,217,2023-03-31
2023,2,24,12,26,17,29,10,5,31,14,20,188,2023-02-28
2023,1,22,12,18,30,42,12,7,25,18,18,204,2023-01-31
