"Statistic","Total","Armagh","Ballymena","Coleraine","Dungannon","Enniskillen","L'derry/Strabane","Mallusk","Newry","Nt'ards","Omagh"
"Confirmed TB animal prevalence in last 12 months (%)",0.6936,0.5877,0.4393,0.5912,0.4901,0.8947,0.3389,0.2406,0.8998,1.1449,0.7118
"Confirmed TB animal prevalence in last 13-24 months (%)",0.6407,0.6729,0.3501,0.4701,0.555,0.8389,0.3907,0.1499,0.7969,0.9072,0.7539
"Confirmed TB animal prevalence in 2024 (%)",0.6755,0.6403,0.3702,0.5869,0.5275,0.8592,0.4416,0.2028,0.8309,0.9675,0.7656
"Confirmed TB animal prevalence in 2023 (%)",0.5716,0.6373,0.3488,0.4295,0.4653,0.8172,0.3086,0.1393,0.7104,0.7734,0.591
"Confirmed TB animal prevalence in 2022 (%)",0.5334,0.4167,0.4125,0.4771,0.4185,0.7516,0.2382,0.2119,0.7072,0.7829,0.4352
"Confirmed TB animal prevalence in 2021 (%)",0.4338,0.383,0.2552,0.4052,0.3308,0.5034,0.1189,0.203,0.6588,0.6647,0.3248
"Confirmed TB animal prevalence in 2020 (%)",0.3795,0.3722,0.3172,0.2733,0.2811,0.4583,0.0899,0.1867,0.6118,0.5058,0.3268
"Confirmed TB animal prevalence in 2019 (%)",0.379,0.392,0.317,0.285,0.334,0.464,0.172,0.214,0.472,0.549,0.266
"Confirmed TB animal prevalence in 2018 (%)",0.421,0.324,0.281,0.313,0.464,0.551,0.19,0.18,0.506,0.513,0.451
"Confirmed TB animal prevalence in 2017 (%)",0.453,0.417,0.34,0.35,0.477,0.594,0.118,0.245,0.595,0.54,0.366
"Confirmed TB animal prevalence in 2016 (%)",0.354,0.267,0.15,0.345,0.434,0.466,0.164,0.14,0.327,0.489,0.389
"Confirmed TB animal prevalence in 2015 (%)",0.36,0.288,0.226,0.326,0.336,0.347,0.447,0.16,0.392,0.459,0.436
"Confirmed TB animal prevalence in 2014 (%)",0.306,0.217,0.227,0.301,0.239,0.367,0.145,0.155,0.366,0.451,0.318
"Confirmed TB animal prevalence in 2013 (%)",0.268,0.255,0.399,0.189,0.179,0.33,0.104,0.076,0.299,0.402,0.263
"Confirmed TB animal prevalence in 2012 (%)",0.331,0.234,0.145,0.217,0.252,0.506,0.19,0.143,0.371,0.452,0.466
"Confirmed TB animal prevalence in 2011 (%)",0.275,0.271,0.154,0.155,0.146,0.331,0.069,0.12,0.427,0.502,0.299
"Confirmed TB animal prevalence in 2010 (%)",0.214,0.176,0.122,0.203,0.133,0.318,0.169,0.066,0.276,0.284,0.2
"Confirmed TB animal prevalence in 2009 (%)",0.248,0.241,0.129,0.231,0.172,0.299,0.057,0.167,0.345,0.316,0.29
"Confirmed TB animal prevalence in 2008 (%)",0.247,0.295,0.102,0.186,0.166,0.348,0.071,0.171,0.296,0.402,0.232
"Confirmed TB animal prevalence in 2007 (%)",0.23,0.224,0.11,0.139,0.221,0.319,0.078,0.072,0.302,0.402,0.18
"Confirmed TB animal prevalence in 2006 (%)",0.22,0.266,0.084,0.142,0.205,0.42,0.071,0.155,0.397,0.49,0.163
"Confirmed TB animal prevalence in 2005 (%)",0.26,0.204,0.142,0.168,0.242,0.319,0.048,0.125,0.352,0.595,0.196
