"Date","RollingTotal_Animals","RollingTotal_Herds","ReactorsPerHerd"
2006-12-31,9383,1513,6.20158625247852
2007-01-31,9172,1461,6.27789185489391
2007-02-28,8716,1431,6.09084556254368
2007-03-31,8602,1368,6.28801169590643
2007-04-30,8349,1337,6.24457741211668
2007-05-31,8086,1304,6.20092024539877
2007-06-30,7900,1272,6.21069182389937
2007-07-31,7681,1278,6.01017214397496
2007-08-31,7655,1258,6.08505564387917
2007-09-30,7487,1247,6.00400962309543
2007-10-31,7421,1241,5.9798549556809
2007-11-30,7489,1274,5.87833594976452
2007-12-31,7299,1264,5.7745253164557
2008-01-31,7292,1252,5.82428115015974
2008-02-29,7523,1269,5.92828999211978
2008-03-31,7293,1257,5.80190930787589
2008-04-30,7325,1281,5.71818891491023
2008-05-31,7515,1303,5.76745970836531
2008-06-30,7681,1305,5.88582375478927
2008-07-31,7864,1309,6.00763941940412
2008-08-31,7872,1307,6.02295332823259
2008-09-30,7905,1304,6.06211656441718
2008-10-31,8039,1315,6.11330798479087
2008-11-30,8262,1282,6.44461778471139
2008-12-31,16782,2567,6.53759252045189
2009-01-31,8545,1306,6.54287901990812
2009-02-28,8375,1324,6.32552870090634
2009-03-31,8437,1322,6.38199697428139
2009-04-30,8577,1336,6.41991017964072
2009-05-31,8573,1338,6.40732436472347
2009-06-30,8449,1333,6.33833458364591
2009-07-31,8551,1352,6.32470414201183
2009-08-31,8519,1335,6.3812734082397
2009-09-30,8637,1305,6.6183908045977
2009-10-31,8677,1274,6.81083202511774
2009-11-30,8355,1293,6.46171693735499
2010-01-31,7972,1278,6.23787167449139
2010-02-28,7938,1239,6.40677966101695
2010-03-31,7816,1261,6.19825535289453
2010-04-30,7681,1254,6.12519936204147
2010-05-31,7423,1195,6.21171548117155
2010-06-30,7365,1190,6.1890756302521
2010-07-31,7205,1219,5.91058244462674
2010-08-31,7000,1184,5.91216216216216
2010-09-30,6858,1193,5.74853310980721
2010-10-31,6730,1215,5.53909465020576
2010-11-30,6582,1206,5.45771144278607
2010-12-31,6404,1160,5.52068965517241
2011-01-31,6405,1175,5.45106382978723
2011-02-28,6473,1179,5.490245971162
2011-03-31,6655,1175,5.66382978723404
2011-04-30,6626,1180,5.61525423728814
2011-05-31,6707,1187,5.65037910699242
2011-06-30,6686,1196,5.59030100334448
2011-07-31,6663,1166,5.71440823327616
2011-08-31,6778,1157,5.85825410544512
2011-09-30,6975,1192,5.85151006711409
2011-10-31,7245,1216,5.95805921052632
2011-11-30,7493,1303,5.75057559478127
2011-12-31,8136,1386,5.87012987012987
2012-01-31,8361,1448,5.77417127071823
2012-02-29,8410,1493,5.63295378432686
2012-03-31,8690,1540,5.64285714285714
2012-04-30,8875,1555,5.70739549839228
2012-05-31,9546,1610,5.92919254658385
2012-06-30,10015,1641,6.102985984156
2012-07-31,10104,1635,6.17981651376147
2012-08-31,10526,1692,6.2210401891253
2012-09-30,10767,1693,6.35971647962197
2012-10-31,10790,1722,6.26596980255517
2012-11-30,11074,1720,6.43837209302326
2012-12-31,10896,1695,6.4283185840708
2013-01-31,10900,1657,6.57815328907664
2013-02-28,10906,1654,6.59371221281741
2013-03-31,10692,1613,6.62864228146311
2013-04-30,10469,1596,6.55952380952381
2013-05-31,9933,1565,6.34696485623003
2013-06-30,9474,1538,6.15994798439532
2013-07-31,9467,1547,6.11958629605688
2013-08-31,9183,1509,6.08548707753479
2013-09-30,8782,1502,5.84687083888149
2013-10-31,8669,1460,5.93767123287671
2013-11-30,8496,1486,5.71736204576043
2013-12-31,8262,1479,5.58620689655172
2014-01-31,8498,1492,5.69571045576408
2014-02-28,8288,1459,5.68060315284441
2014-03-31,8097,1438,5.6307371349096
2014-04-30,8259,1432,5.76745810055866
2014-05-31,8110,1432,5.66340782122905
2014-06-30,8231,1407,5.8500355366027
2014-07-31,8187,1409,5.81050390347764
2014-08-31,8211,1400,5.865
2014-09-30,8283,1384,5.98482658959538
2014-10-31,8398,1402,5.99001426533524
2014-11-30,8616,1385,6.22093862815884
2014-12-31,8838,1397,6.32641374373658
2015-01-31,8906,1432,6.21927374301676
2015-02-28,9253,1475,6.27322033898305
2015-03-31,9305,1492,6.23659517426273
2015-04-30,9607,1541,6.23426346528228
2015-05-31,9832,1554,6.32689832689833
2015-06-30,9894,1577,6.27393785668992
2015-07-31,10246,1603,6.39176543980037
2015-08-31,10392,1629,6.37937384898711
2015-09-30,10630,1631,6.51747394236665
2015-10-31,10779,1686,6.3932384341637
2015-11-30,10849,1681,6.45389649018441
2015-12-31,10996,1688,6.51421800947867
2016-01-31,11059,1660,6.66204819277108
2016-02-29,10966,1611,6.80695220360025
2016-03-31,11101,1627,6.82298709280885
2016-04-30,11285,1657,6.81050090525045
2016-05-31,11495,1654,6.94981862152358
2016-06-30,11411,1666,6.84933973589436
2016-07-31,11299,1655,6.82719033232628
2016-08-31,11293,1649,6.8483929654336
2016-09-30,11294,1674,6.74671445639188
2016-10-31,11527,1656,6.96074879227053
2016-11-30,11671,1667,7.00119976004799
2016-12-31,11924,1739,6.85681426106958
2017-01-31,12279,1787,6.87129266927812
2017-02-28,12650,1838,6.88248095756257
2017-03-31,13432,1913,7.02143230527967
2017-04-30,13439,1923,6.9885595423817
2017-05-31,13533,1975,6.85215189873418
2017-06-30,14227,2024,7.02915019762846
2017-07-31,14573,2048,7.11572265625
2017-08-31,15053,2097,7.17835002384359
2017-09-30,15559,2145,7.25361305361305
2017-10-31,15729,2180,7.2151376146789
2017-11-30,16076,2240,7.17678571428571
2017-12-31,15949,2208,7.22327898550725
2018-01-31,15685,2154,7.28180129990715
2018-02-28,15660,2182,7.1769019248396
2018-03-31,15711,2180,7.20688073394495
2018-04-30,15794,2145,7.36317016317016
2018-05-31,15963,2146,7.43849021435228
2018-06-30,15859,2128,7.45253759398496
2018-07-31,15798,2143,7.3719085394307
2018-08-31,15818,2162,7.3163737280296
2018-09-30,15663,2160,7.25138888888889
2018-10-31,15675,2158,7.26367006487488
2018-11-30,15509,2129,7.28464067637388
2018-12-31,15329,2088,7.34147509578544
2019-01-31,15276,2072,7.37258687258687
2019-02-28,15024,2003,7.50074887668497
2019-03-31,14699,1918,7.66371220020855
2019-04-30,14246,1895,7.51767810026385
2019-05-31,14245,1911,7.45421245421245
2019-06-30,13944,1888,7.38559322033898
2019-07-31,13707,1867,7.34172469201928
2019-08-31,13482,1847,7.29940443963184
2019-09-30,13213,1812,7.29194260485651
2019-10-31,13167,1791,7.35175879396985
2019-11-30,13073,1786,7.31970884658455
2019-12-31,13019,1757,7.40978941377348
2020-01-31,13101,1800,7.27833333333333
2020-02-29,13212,1795,7.36044568245125
2020-03-31,12953,1803,7.18413754853023
2020-04-30,12685,1737,7.3028209556707
2020-05-31,12446,1705,7.29970674486804
2020-06-30,12628,1775,7.1143661971831
2020-07-31,12968,1817,7.13703907539901
2020-08-31,12842,1827,7.02900930487137
2020-09-30,12942,1841,7.02987506789788
2020-10-31,12712,1822,6.97694840834248
2020-11-30,12756,1816,7.02422907488987
2020-12-31,12852,1861,6.90596453519613
2021-01-31,12805,1836,6.97440087145969
2021-02-28,12655,1854,6.82578209277238
2021-03-31,12595,1842,6.83767643865364
2021-04-30,13243,1964,6.7428716904277
2021-05-31,13207,1957,6.74859478794073
2021-06-30,13049,1913,6.8212232096184
2021-07-31,13174,1919,6.86503387180823
2021-08-31,13499,1913,7.05645582854156
2021-09-30,13885,1930,7.19430051813471
2021-10-31,14058,1957,7.18344404701073
2021-11-30,14097,1978,7.12689585439838
2021-12-31,14355,1968,7.29420731707317
2022-01-31,14375,1954,7.35670419651996
2022-02-28,14454,1943,7.4390118373649
2022-03-31,14634,1986,7.36858006042296
2022-04-30,14567,1997,7.29444166249374
2022-05-31,14629,2005,7.29625935162095
2022-06-30,14879,2007,7.41355256601893
2022-07-31,14927,2016,7.40426587301587
2022-08-31,15418,2062,7.47720659553831
2022-09-30,15858,2125,7.46258823529412
2022-10-31,16523,2193,7.5344277245782
2022-11-30,16958,2232,7.59767025089606
2022-12-31,17370,2253,7.70972037283622
2023-01-31,17851,2289,7.79860200961118
2023-02-28,18075,2343,7.71446862996159
2023-03-31,18378,2383,7.71212757028955
2023-04-30,18332,2341,7.83084152071764
2023-05-31,18459,2387,7.73313782991202
2023-06-30,18364,2371,7.74525516659637
2023-07-31,18436,2380,7.74621848739496
2023-08-31,18414,2349,7.83908045977012
2023-09-30,17967,2301,7.80834419817471
2023-10-31,17806,2254,7.8997338065661
2023-11-30,18159,2203,8.24285065819337
2023-12-31,18150,2199,8.2537517053206
2024-01-31,17951,2173,8.26092959042798
2024-02-29,18285,2188,8.35694698354662
2024-03-31,18578,2188,8.4908592321755
2024-04-30,18990,2210,8.59276018099547
2024-05-31,19466,2217,8.78033378439332
2024-06-30,19871,2233,8.89879086430811
2024-07-31,19979,2193,9.11035111719106
2024-08-31,20498,2219,9.23749436683191
2024-09-30,20709,2218,9.33678990081154
2024-10-31,20619,2246,9.18032056990205
2024-11-30,20628,2298,8.97650130548303
2024-12-31,20510,2314,8.86343993085566
2025-01-31,20777,2349,8.84504044274159
2025-02-28,20690,2313,8.94509295287505
2025-03-31,20473,2276,8.99516695957821
2025-04-30,20517,2280,8.99868421052632
2025-05-31,20540,2297,8.94209838920331
2025-06-30,20507,2329,8.80506655216831
2025-07-31,20509,2338,8.77202737382378
